round	ref	data_ms	e2e_ms
1	b4	4.59	138.5
1	main	9.49	160.9
2	b4	4.23	160.9
2	main	5.54	159.6
3	b4	5.37	158.4
3	main	8.47	151.9
4	b4	4.37	144.5
4	main	9.58	153.1
5	b4	5.94	153.0
5	main	8.36	152.1
6	b4	8.31	151.8
6	main	8.62	155.3
7	b4	4.05	144.3
7	main	5.20	143.5
8	b4	4.27	146.2
8	main	8.93	149.7
9	b4	4.31	144.7
9	main	8.85	147.0
10	b4	4.28	145.4
10	main	8.49	146.5
11	b4	4.14	144.7
11	main	5.01	147.5
12	b4	4.36	144.6
12	main	8.35	148.4
13	b4	4.45	142.9
13	main	8.64	150.5
14	b4	4.40	138.2
14	main	5.04	143.8
15	b4	4.22	143.5
15	main	8.68	150.1
16	b4	7.73	140.5
16	main	5.25	139.3
17	b4	4.36	144.9
17	main	8.38	146.4
18	b4	4.21	142.4
18	main	5.11	137.9
19	b4	4.31	144.2
19	main	8.77	142.6
20	b4	4.72	141.2
20	main	8.53	149.8
21	b4	5.16	139.4
21	main	5.13	140.4
22	b4	4.13	145.1
22	main	6.56	146.5
23	b4	4.12	137.4
23	main	5.34	141.0
24	b4	4.49	147.0
24	main	5.03	145.5
25	b4	4.87	145.5
25	main	8.57	141.8
26	b4	4.26	139.2
26	main	4.90	143.9
27	b4	4.76	143.2
27	main	8.61	141.8
28	b4	4.75	138.3
28	main	8.40	142.4
29	b4	4.19	145.7
29	main	5.26	146.1
30	b4	8.06	149.3
30	main	8.50	142.5
